,umap_x,umap_y,read_cnt,bar_cnt,ncbi_id,Domain,Phylum,Class,Order,Family,Genus
0,7.6746697,5.722513,2300,1,41,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Stigmatella
1,12.97433,12.234095,7633,2,48,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Archangium_A
2,7.2065578,6.5820804,27449,1,63,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Vitreoscilla_A
3,9.071234,-18.464254,9124,1,94,Bacteria,Proteobacteria,Alphaproteobacteria,ATCC43930,Stellaceae,Stella
4,7.257292,4.8959846,4259,1,254,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium
5,7.657047,-1.1798348,5200,1,303,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Pseudomonas_E
6,287.70703,433.1432,209640,23,304,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pelomonas
7,30.098576,18.468641,1595,1,305,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
8,17.455318,18.957226,63057,3,316,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_A
9,61.18994,37.941864,62886,2,329,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
10,10.439117,1.9644809,10005,1,376,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
11,6.2398677,5.3933587,5151,1,519,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Bordetella
12,5.8744135,7.398961,7421,1,539,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia
13,7.33526,5.893943,2460,1,564,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
14,5.709962,4.823877,10337,1,687,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter
15,5.7407947,5.555063,1056,1,907,Bacteria,Firmicutes_C,Negativicutes,Veillonellales,Megasphaeraceae,Megasphaera
16,7.524757,5.895747,1253,1,915,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas
17,12.939526,-3.9285154,10742,1,924,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea
18,26.658356,27.298737,32222,3,959,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
19,11.047627,3.6108873,20940,1,986,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
20,9.808579,15.76899,6310,2,1058,Bacteria,Actinobacteriota,Actinomycetia,Chromatiales,Chromatiaceae,Thiocapsa
21,6.042711,6.590123,3232,1,1199,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Geitlerinemaceae,Phormidium_A
22,6.639378,5.408137,21112,1,1247,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus
23,7.892334,6.224169,55260,1,1326,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
24,5.7645183,6.7761226,2573,1,1520,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium
25,11.734161,11.950248,5397,2,1527,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna
26,5.937957,6.2907896,4028,1,1656,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces
27,6.2006435,5.575903,4660,1,1710,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Cellulomonadaceae,Cellulosimicrobium
28,6.4789534,4.6798396,12579,1,1747,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium
29,8.539029,5.795738,24164,1,1785,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium
30,8.654988,5.8116446,1338,1,1793,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium
31,6.955044,1.0774827,2836,1,1904,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces
32,6.8516245,2.014666,1247,1,1927,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces
33,7.010356,1.0702735,3756,1,1936,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces
34,4.4038725,4.4289913,10120,1,2213,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
35,5.9291277,6.0093975,12874,1,2751,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
36,4.8152614,7.5216846,3010,1,28094,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Trinickia
37,7.3415694,6.1283712,2047,1,28185,Bacteria,Myxococcota_A,UBA9160,UBA9160,UBA4427,MED660
38,6.072736,6.368351,11097,1,28229,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Colwellia
39,6.8776217,2.9425867,1889,1,34034,Bacteria,Proteobacteria,Alphaproteobacteria,Haliangiales,Haliangiaceae,UBA2376
40,7.317653,5.7977276,10692,1,34085,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella
41,6.471847,5.9579635,18923,1,34103,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Sphaerotilus
42,11.033405,3.641919,2882,1,37752,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
43,8.633138,5.8298664,1640,1,39693,Bacteria,Proteobacteria,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium
44,36.42948,2.9861474,13114,4,40324,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
45,6.499731,4.839378,1426,1,41985,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Agromyces
46,7.6905184,-1.2020856,1409,1,43263,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E
47,7.6896315,4.0173383,2256,1,44139,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera
48,5.8130155,6.284671,2902,1,45074,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
49,6.337142,4.9975657,4839,1,46469,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
50,6.9626956,5.7599015,11355,1,47312,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Tsukamurella
51,6.9569025,6.250753,1952,1,47671,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia
52,6.9998055,1.0602695,4372,1,47716,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces
53,7.2241435,7.277049,1646,1,47857,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Micromonospora
54,6.9041557,7.25882,8012,1,47871,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Micromonospora
55,5.7154007,4.5543003,1004,1,47951,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio
56,6.9031134,5.8797593,11165,1,47994,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Leptothrix
57,3.6705184,9.941843,3170,2,50421,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
58,6.7269354,-3.9180968,3415,1,51671,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Sciscionella
59,6.9375772,6.353957,6709,1,53443,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A
60,7.5695267,5.511691,3532,1,54398,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Sedimenticolaceae,Endoriftia
61,7.5210276,-0.57460916,1864,1,56458,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Enterobacteriaceae,Pantoea
62,16.4861,18.329449,17702,3,59620,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster
63,2.7631419,9.563953,7815,1,61648,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azonexus
64,3.5018127,9.211294,3439,1,67304,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azonexus
65,6.945397,1.1104877,5783,1,67373,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Streptomycetaceae,Streptomyces
66,18.602379,5.3642983,23132,3,68239,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces
67,-9.424784,14.968871,1721,1,69279,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium
68,8.134262,5.137067,4053,1,69484,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Actinoplanes
69,6.933908,6.4799657,1064,1,70125,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
70,25.089417,26.616758,8035,3,76731,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pelomonas
71,12.368428,12.188177,11463,1,78229,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax_D
72,12.330708,12.150619,1103,1,80881,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax_D
73,1.9290881,4.9982753,3131,1,81479,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax
74,7.0028753,6.3630114,2012,1,82654,Bacteria,Cyanobacteria,Cyanobacteriia,Pseudanabaenales,Pseudanabaenaceae,PCC-7367
75,6.5704565,4.891487,7087,1,82996,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia
76,6.737216,6.1762714,1105,1,83767,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Propionivibrio
77,6.0536246,5.0056386,1383,1,84022,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Natronincolaceae,Clostridium_W
78,6.846252,6.7484345,1126,1,92407,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Metamycoplasmataceae,Metamycoplasma
